movie_id,url,title,genre,metascore,userscore,RelDate,rating_id
!women-art-revolution,https://www.metacritic.com/movie/!women-art-revolution,!Women Art Revolution,Documentary,70,,2011-06-01,0
10-cloverfield-lane,https://www.metacritic.com/movie/10-cloverfield-lane,10 Cloverfield Lane,"Action,Sci-Fi,Drama,Mystery,Thriller,Horror",76,7.7,2016-03-11,1
10-items-or-less,https://www.metacritic.com/movie/10-items-or-less,10 Items or Less,"Drama,Comedy,Romance",54,5.8,2006-12-01,2
10-years,https://www.metacritic.com/movie/10-years,10 Years,"Drama,Comedy,Romance",61,6.9,2012-09-14,2
100-bloody-acres,https://www.metacritic.com/movie/100-bloody-acres,100 Bloody Acres,"Horror,Comedy",63,7.5,2013-06-28,0
100-streets,https://www.metacritic.com/movie/100-streets,100 Streets,Drama,44,6.1,2017-01-13,0
1000-times-good-night,https://www.metacritic.com/movie/1000-times-good-night,"1,000 Times Good Night",Drama,57,6.8,2014-10-24,0
10000-bc,https://www.metacritic.com/movie/10000-bc,"10,000 BC","Adventure,Drama,Fantasy",34,4.6,2008-03-07,1
10000-km,https://www.metacritic.com/movie/10000-km,"10,000 km","Drama,Comedy,Romance",75,7.4,2015-07-10,2
1001-grams,https://www.metacritic.com/movie/1001-grams,1001 Grams,Drama,65,,2015-05-08,0
101-reykjavik,https://www.metacritic.com/movie/101-reykjavik,ReykjavÃ­k,"Comedy,Romance",68,5.4,2001-07-25,0
102-dalmatians,https://www.metacritic.com/movie/102-dalmatians,102 Dalmatians,"Comedy,Family",35,5.1,2000-11-22,3
10th-wolf,https://www.metacritic.com/movie/10th-wolf,10th & Wolf,"Drama,Mystery,Thriller,Crime",36,6.7,2006-08-18,2
11-flowers,https://www.metacritic.com/movie/11-flowers,11 Flowers,Drama,71,,2013-02-22,0
11-minutes,https://www.metacritic.com/movie/11-minutes,11 Minutes,"Drama,Thriller",51,7.5,2016-04-08,0
11816,https://www.metacritic.com/movie/11816,11/8/16,Documentary,62,,2017-11-03,2
12,https://www.metacritic.com/movie/12,12,"Drama,Thriller,Crime,War",72,7.4,2009-03-04,1
12-12-12,https://www.metacritic.com/movie/12-12-12,12-12-12,Documentary,54,,2013-11-15,2
12-hour-shift,https://www.metacritic.com/movie/12-hour-shift,12 Hour Shift,"Thriller,Horror,Comedy",63,5.8,2020-10-02,0
12-mighty-orphans,https://www.metacritic.com/movie/12-mighty-orphans,12 Mighty Orphans,"History,Sport",44,6.6,2021-06-11,1
12-oclock-boys,https://www.metacritic.com/movie/12-oclock-boys,12 O'Clock Boys,"Biography,Documentary",68,4.6,2014-01-31,0
12-rounds,https://www.metacritic.com/movie/12-rounds,12 Rounds,"Action,Thriller,Crime",38,5.0,2009-03-27,1
12-strong,https://www.metacritic.com/movie/12-strong,12 Strong,"Action,Drama,History,War",54,6.3,2018-01-19,2
