movie_id,genre_id
!women-art-revolution,1
10-cloverfield-lane,2
10-cloverfield-lane,3
10-cloverfield-lane,4
10-cloverfield-lane,5
10-cloverfield-lane,6
10-cloverfield-lane,7
10-items-or-less,4
10-items-or-less,8
10-items-or-less,9
10-years,4
10-years,8
10-years,9
100-bloody-acres,7
100-bloody-acres,8
100-streets,4
1000-times-good-night,4
10000-bc,10
10000-bc,4
10000-bc,11
10000-km,4
10000-km,8
10000-km,9
1001-grams,4
101-reykjavik,8
101-reykjavik,9
102-dalmatians,8
102-dalmatians,12
10th-wolf,4
10th-wolf,5
10th-wolf,6
10th-wolf,13
11-flowers,4
11-minutes,4
11-minutes,6
11816,1
12,4
12,6
12,13
12,14
12-12-12,1
12-hour-shift,6
12-hour-shift,7
12-hour-shift,8
12-mighty-orphans,15
12-mighty-orphans,16
12-oclock-boys,17
12-oclock-boys,1
12-rounds,2
12-rounds,6
12-rounds,13
12-strong,2
12-strong,4
12-strong,15
12-strong,14
12-years-a-slave,17
12-years-a-slave,4
12-years-a-slave,15
1208-east-of-bucharest,4
1208-east-of-bucharest,8
1208-east-of-bucharest,18
127-hours,10
127-hours,17
127-hours,4
127-hours,6
13,4
13,6
13-assassins,2
13-going-on-30,11
13-going-on-30,8
13-going-on-30,9
13-hours-the-secret-soldiers-of-benghazi,2
13-hours-the-secret-soldiers-of-benghazi,4
13-hours-the-secret-soldiers-of-benghazi,6
13-hours-the-secret-soldiers-of-benghazi,14
13-minutes,17
13-minutes,4
13-minutes,14
13-sins,6
13-sins,7
13-tzameti,4
13-tzameti,6
13-tzameti,13
13th,13
13th,1
14-blades,2
14-blades,4
14-blades,15
14-blades,6
1408,6
1408,7
15-minutes,2
15-minutes,4
15-minutes,6
15-minutes,13
16-blocks,2
16-blocks,4
16-blocks,6
16-blocks,13
16-years-of-alcohol,4
16-years-of-alcohol,13
17-again,4
17-again,8
17-again,9
17-blocks,1
17-girls,4
1911,2
1911,10
1911,4
1911,15
1911,14
1917,4
1917,14
1922,4
1922,5
1922,6
1922,7
1922,13
1945,4
1971,15
1971,6
1971,1
1971,19
1985,4
1br,4
1br,6
1br,7
2-autumns-3-winters,8
2-days-in-new-york,8
2-days-in-paris,4
2-days-in-paris,8
2-days-in-paris,9
2-fast-2-furious,2
2-fast-2-furious,6
2-fast-2-furious,13
2-guns,2
2-guns,4
2-guns,6
2-guns,8
2-guns,13
2-jacks,4
2-jacks,8
2-or-3-things-i-know-about-him,4
20-centimeters,8
20-centimeters,18
20-feet-from-stardom,1
20000-days-on-earth,4
20000-days-on-earth,18
20000-days-on-earth,1
2012,2
2012,10
2012,3
2012,4
2012,6
2016-obamas-america,1
2046,3
2046,4
2046,11
2046,9
2067,3
20th-century-women,4
20th-century-women,8
21,4
21-and-over,8
21-bridges,2
21-bridges,4
21-bridges,6
21-bridges,13
21-grams,4
21-grams,6
21-grams,13
21-jump-street,2
21-jump-street,8
21-jump-street,13
21-years-richard-linklater,17
21-years-richard-linklater,1
211,2
211,4
211,15
211,6
211,13
22-july,17
22-july,4
22-july,15
22-july,6
22-july,13
22-jump-street,2
22-jump-street,8
22-jump-street,13
23-blast,4
23-blast,16
23-blast,12
24-city,4
24-days,4
24-days,6
24-exposures,4
24-exposures,6
24-exposures,13
24-frames,4
24-hour-party-people,17
24-hour-party-people,4
24-hour-party-people,8
24-hour-party-people,18
24-hours-on-craigslist,1
25th-hour,4
25th-hour,13
27-dresses,8
27-dresses,9
28-days,4
28-days-later,2
28-days-later,3
28-days-later,6
28-days-later,7
28-hotel-rooms,4
28-weeks-later,2
28-weeks-later,6
28-weeks-later,7
3,4
3,8
3,9
3-12-minutes-10-bullets,4
3-12-minutes-10-bullets,13
3-12-minutes-10-bullets,1
3-12-minutes-10-bullets,19
3-2-1-frankie-go-boom,8
3-backyards,4
3-d-sex-and-zen-extreme-ecstasy,4
3-dancing-slaves,4
3-days-to-kill,2
3-days-to-kill,4
3-days-to-kill,6
3-days-to-kill,13
3-faces,4
3-generations,4
3-generations,8
3-hearts,4
3-iron,4
3-iron,9
3-iron,13
3-needles,4
3-strikes,8
30-beats,8
30-beats,9
30-days-of-night,6
30-days-of-night,7
30-minutes-or-less,10
30-minutes-or-less,8
300,2
300,11
300,14
300-rise-of-an-empire,2
300-rise-of-an-empire,4
300-rise-of-an-empire,11
300-rise-of-an-empire,14
3000-miles-to-graceland,2
3000-miles-to-graceland,6
3000-miles-to-graceland,8
3000-miles-to-graceland,13
306-hollywood,1
31,6
31,7
310-to-yuma,2
310-to-yuma,4
310-to-yuma,13
310-to-yuma,21
33-postcards,4
33-postcards,18
35-shots-of-rum,4
360,4
360,9
39-pounds-of-love,17
39-pounds-of-love,9
39-pounds-of-love,1
4,4
4-days-in-france,4
4-days-in-france,8
4-days-in-france,9
4-months-3-weeks-and-2-days,4
40-days-and-40-nights,4
40-days-and-40-nights,8
40-days-and-40-nights,9
40-years-in-the-making-the-magic-music-movie,1
42,17
42,4
42,16
44-inch-chest,4
44-inch-chest,13
444-last-day-on-earth,3
444-last-day-on-earth,4
444-last-day-on-earth,11
45-years,4
45-years,9
45365,1
47-meters-down,10
47-meters-down,4
47-meters-down,6
47-meters-down,7
47-meters-down-uncaged,10
47-meters-down-uncaged,4
47-meters-down-uncaged,6
47-meters-down-uncaged,7
47-ronin,2
47-ronin,10
47-ronin,4
47-ronin,11
49-up,17
49-up,1
4th-man-out,4
4th-man-out,8
5-broken-cameras,1
5-days-of-war,2
5-days-of-war,4
5-days-of-war,14
5-flights-up,4
5-star-day,4
5-to-7,4
5-to-7,8
5-to-7,9
50-first-dates,8
50-first-dates,9
500-days-of-summer,4
500-days-of-summer,8
500-days-of-summer,9
5050,4
5050,8
51-birch-street,1
52-tuesdays,4
52-tuesdays,12
56-up,1
5x2,4
5x2,9
6-balloons,4
6-days,2
6-days,4
6-days,15
6-days,6
6-month-rule,8
6-souls,5
6-souls,6
6-souls,7
6-underground,2
6-underground,10
6-underground,6
6-underground,8
63-up,1
69-the-saga-of-danny-hernandez,18
