movie_id,title,release_date,metascore,userscore,production_budget,worldwide_box_office,rating_id
bakha-satang-(s-korea),Bakha Satang,2000-01-01,,,,76576.0,
antitrust,Antitrust,2001-01-12,31.0,8.7,30000000.0,17865209.0,1.0
santitos,Santitos,2000-01-28,68.0,,,,2.0
frank-mcklusky-c-i,Frank McKlusky C.I.,,,,,,
walk-to-remember-a,A Walk to Remember,2002-01-25,,,11000000.0,46060861.0,
zig-zag,Zig Zag,2002-06-21,,,,,
takhte-siah,TakhtÃƒÂ© siah,2002-05-10,,,,,
angry-monk-reflections-on-tibet-the,"Angry Monk: Reflections on Tibet, The",2009-01-02,,,,,
30-years-to-life,30 Years to Life,2002-06-07,,,,,
killing-of-john-lennon-the,The Killing of John Lennon,2008-01-02,,,,,
mad-money,Mad Money,2008-01-18,41.0,6.4,22000000.0,25044057.0,1.0
little-chenier,Little Chenier,2008-01-18,,,,,
over-her-dead-body,Over Her Dead Body,2008-02-01,30.0,5.1,10000000.0,21596074.0,1.0
ano-em-que-meus-pais-sairam-de-ferias-o,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias,2008-02-15,,,,2607117.0,
120-(turkey),120,2008-02-15,,,,1334204.0,
other-boleyn-girl-the,The Other Boleyn Girl,2008-02-29,,,40000000.0,78269970.0,
lawyer-walks-into-a-bar-a,A Lawyer Walks into a Bar,2008-02-29,,,,,
rondine-la,La Rondine,2008-03-08,,,,,
jodaeiye-nader-az-simin,Jodaeiye Nader az Simin,2011-12-30,,,800000.0,24426169.0,
pariah-(2011),Pariah,2011-12-28,,,,,
war-horse,War Horse,2011-12-25,72.0,6.8,70000000.0,156815529.0,1.0
habemus-papam,Habemus Papam,2011-04-06,,,,10404075.0,
ivan-tsarevich-i-seryy-volk,Ivan Tsarevich i Seryy Volk,2011-12-29,,,,25047727.0,
sicario-room-164-el,El Sicario Room 164,2011-12-28,,,,,
extremely-loud-and-incredibly-close,Extremely Loud and Incredibly Close,2011-12-25,46.0,5.9,40000000.0,55247881.0,1.0
angels-crest,Angels Crest,2011-12-30,38.0,5.7,,2037.0,2.0
paranormal-xperience-3d-(spain)-(2011),Paranormal Xperience,2011-12-28,,,,2812739.0,
darkest-hour-the,The Darkest Hour,2011-12-25,,,34800000.0,62831715.0,
miss-minoes,Miss Minoes,2011-12-23,50.0,,,,1.0
we-bought-a-zoo,We Bought a Zoo,2011-11-26,58.0,6.9,50000000.0,118729073.0,1.0
minuscule-la-vallee-des-fourmis-perdues-(france),Minuscule - La vallÃƒÂ©e des fourmis perdues,2014-11-21,,,,1058457.0,
kiseki,Kiseki,2011-05-11,,,,912158.0,
in-the-land-of-blood-and-honey,In The Land of Blood and Honey,2011-12-23,56.0,3.2,13000000.0,509193.0,2.0
prince-of-the-himalayas,Prince of the Himalayas,2011-12-23,,,,,
don-2,Don 2,2011-12-22,,,,34053090.0,
we-are-the-giant,We Are the Giant,2014-12-12,52.0,,,,0.0
wang-pai-(china)(2014),Wang Pai,2014-12-31,,,,4590000.0,
young-kieslowski-the-(2015),The Young Kieslowski,2015-07-24,,,,,
last-cab-to-darwin-(australia),Last Cab to Darwin,2015-06-10,,,,5821137.0,
cong-cong-na-nian-(china)(2014),Cong cong na nian,2014-12-12,,,,94036853.0,
ghadi-(lebanon),Ghadi,2015-07-31,,,,70149.0,
fair-play-(cz)-(2014),Fair Play,2015-07-31,,,,8747.0,
meru,Meru,2015-08-14,77.0,8.3,,2350820.0,2.0
station-to-station,Station to Station,2015-08-21,,,,10530.0,
karachi-se-lahore,Karachi se Lahore,2015-08-14,,,1000000.0,17721.0,
atrapa-la-bandera,Atrapa la bandera,2015-12-04,,,,21131406.0,
alma,Alma,2015-09-10,,,,567607.0,
boca-juniors-3d-la-pelicula,"Boca Juniors 3D, la pelÃƒÂ­cula",2015-08-28,,,,2171383.0,
life-of-josutty-(india),Life of Josutty,2015-09-18,,,,7870.0,
welcome-to-leith,Welcome to Leith,2015-09-09,78.0,7.3,,36391.0,0.0
eso-que-llaman-amor-(argentina)-(2015),Eso que llaman amor,2015-09-25,,,,231.0,
man-who-saved-the-world-the,The Man Who Saved the World,2015-09-18,,,,2855.0,
yuan-ling-ren-ou-(china)(2014),Yuan Ling Ren Ou,2014-12-31,,,,3590000.0,
hip-hop-eration-(new-zealand)-(2015),Hip Hop-eration,2015-10-02,,,,6203.0,
kleine-ziege-sturer-bock-(germany)-(2015),"Kleine Ziege, sturer Bock",2015-10-16,,,,67838.0,
vesvese-cin-tuzagi-(turkey)-(2015),Vesvese: Cin Tuzagi,2015-10-09,,,,15193.0,
truth-(2015),Truth,2015-10-16,,,9600000.0,6842580.0,
geunomida-(south-korea)-(2015),Geunomida,2015-10-30,,,,697826.0,
wo-shi-zheng-ren,Wo shi zheng ren,2015-10-30,,,,31834305.0,
sarancha-(russia)-(2015),Sarancha,2015-11-06,,,,431000.0,
